iter	Passed	Remaining
0	65	65436
1	72	36084
2	78	26238
3	85	21296
4	91	18300
5	98	16355
6	105	14911
7	111	13845
8	118	13029
9	124	12357
10	131	11838
11	138	11398
12	144	11004
13	151	10656
14	157	10348
15	164	10110
16	170	9876
17	177	9686
18	183	9496
19	190	9319
20	196	9160
21	203	9025
22	209	8911
23	216	8787
24	222	8670
25	228	8575
26	235	8487
27	242	8401
28	248	8318
29	254	8236
30	260	8157
31	267	8088
32	273	8025
33	280	7966
34	286	7904
35	293	7853
36	299	7798
37	306	7755
38	312	7708
39	319	7660
40	325	7614
41	332	7582
42	338	7544
43	345	7503
44	351	7463
45	357	7424
46	364	7389
47	371	7361
48	377	7334
49	384	7300
50	390	7273
51	397	7244
52	403	7215
53	410	7185
54	416	7158
55	423	7133
56	429	7103
57	435	7075
58	441	7049
59	448	7022
60	454	6997
61	460	6972
62	467	6949
63	473	6927
64	479	6904
65	486	6882
66	492	6863
67	499	6841
68	505	6819
69	511	6798
70	518	6779
71	524	6758
72	530	6742
73	537	6723
74	543	6703
75	549	6685
76	556	6666
77	562	6652
78	569	6638
79	575	6622
80	582	6603
81	588	6587
82	594	6571
83	601	6564
84	608	6546
85	614	6529
86	621	6517
87	627	6501
88	633	6487
89	640	6476
90	647	6464
91	653	6451
92	660	6437
93	666	6422
94	672	6410
95	679	6397
96	685	6383
97	692	6371
98	698	6359
99	705	6346
100	711	6332
101	717	6320
102	724	6308
103	730	6294
104	736	6281
105	743	6268
106	749	6255
107	756	6246
108	762	6236
109	769	6222
110	775	6211
111	782	6202
112	788	6189
113	794	6177
114	801	6166
115	808	6159
116	814	6148
117	821	6136
118	827	6126
119	833	6114
120	840	6102
121	846	6090
122	852	6079
123	858	6068
124	865	6057
125	872	6049
126	878	6038
127	884	6026
128	891	6016
129	897	6005
130	903	5994
131	909	5983
132	916	5972
133	922	5962
134	928	5951
135	935	5940
136	941	5929
137	947	5917
138	953	5906
139	959	5896
140	966	5886
141	972	5875
142	978	5866
143	985	5856
144	991	5846
145	997	5835
146	1004	5826
147	1010	5816
148	1017	5808
149	1023	5798
150	1029	5790
151	1036	5780
152	1042	5770
153	1048	5762
154	1055	5753
155	1061	5743
156	1067	5734
157	1074	5725
158	1080	5717
159	1087	5708
160	1093	5700
161	1100	5691
162	1106	5681
163	1112	5673
164	1119	5663
165	1125	5655
166	1131	5646
167	1138	5636
168	1144	5627
169	1150	5618
170	1157	5609
171	1163	5601
172	1169	5592
173	1176	5584
174	1182	5576
175	1189	5568
176	1195	5560
177	1202	5551
178	1208	5543
179	1215	5535
180	1221	5528
181	1228	5519
182	1234	5510
183	1240	5503
184	1247	5495
185	1253	5486
186	1260	5479
187	1266	5471
188	1272	5462
189	1279	5456
190	1286	5448
191	1292	5440
192	1299	5431
193	1305	5423
194	1312	5416
195	1318	5408
196	1325	5401
197	1331	5393
198	1337	5384
199	1344	5377
200	1350	5369
201	1357	5361
202	1363	5353
203	1369	5345
204	1376	5337
205	1382	5329
206	1389	5321
207	1395	5312
208	1401	5305
209	1408	5297
210	1414	5289
211	1420	5280
212	1426	5272
213	1433	5263
214	1439	5255
215	1446	5248
216	1452	5240
217	1458	5232
218	1465	5224
219	1471	5216
220	1477	5208
221	1484	5201
222	1490	5193
223	1497	5187
224	1503	5180
225	1510	5172
226	1516	5164
227	1523	5157
228	1529	5150
229	1535	5142
230	1542	5134
231	1548	5126
232	1555	5120
233	1561	5112
234	1568	5104
235	1574	5097
236	1581	5092
237	1588	5084
238	1595	5078
239	1601	5070
240	1607	5063
241	1614	5055
242	1620	5048
243	1627	5041
244	1633	5034
245	1639	5026
246	1646	5018
247	1652	5011
248	1659	5004
249	1665	4996
250	1672	4989
251	1678	4982
252	1685	4975
253	1691	4968
254	1697	4960
255	1704	4953
256	1710	4946
257	1717	4939
258	1723	4931
259	1730	4924
260	1736	4915
261	1742	4908
262	1749	4901
263	1755	4894
264	1761	4886
265	1768	4879
266	1774	4871
267	1780	4864
268	1787	4856
269	1793	4849
270	1800	4842
271	1806	4835
272	1813	4828
273	1819	4821
274	1825	4813
275	1832	4805
276	1838	4798
277	1844	4791
278	1851	4783
279	1857	4775
280	1863	4769
281	1870	4762
282	1877	4756
283	1884	4750
284	1891	4744
285	1897	4736
286	1904	4730
287	1910	4723
288	1917	4716
289	1923	4708
290	1929	4701
291	1936	4694
292	1942	4686
293	1948	4679
294	1955	4672
295	1961	4665
296	1967	4658
297	1974	4651
298	1981	4645
299	1988	4640
300	1995	4634
301	2002	4629
302	2009	4622
303	2016	4616
304	2022	4609
305	2029	4602
306	2035	4595
307	2042	4588
308	2048	4581
309	2055	4574
310	2061	4567
311	2068	4560
312	2074	4553
313	2080	4545
314	2087	4539
315	2093	4531
316	2100	4525
317	2106	4517
318	2112	4510
319	2119	4503
320	2125	4496
321	2132	4489
322	2138	4482
323	2145	4476
324	2152	4469
325	2158	4462
326	2164	4455
327	2171	4448
328	2177	4441
329	2184	4434
330	2190	4427
331	2197	4420
332	2203	4413
333	2210	4407
334	2216	4400
335	2223	4393
336	2229	4386
337	2235	4378
338	2242	4371
339	2248	4364
340	2254	4357
341	2260	4349
342	2267	4343
343	2273	4336
344	2280	4329
345	2286	4321
346	2292	4314
347	2299	4308
348	2305	4301
349	2312	4294
350	2318	4287
351	2325	4280
352	2331	4273
353	2337	4266
354	2344	4259
355	2350	4252
356	2357	4246
357	2364	4239
358	2370	4232
359	2377	4225
360	2383	4218
361	2390	4212
362	2396	4206
363	2403	4198
364	2411	4195
365	2418	4189
366	2425	4183
367	2432	4178
368	2439	4172
369	2446	4166
370	2453	4159
371	2463	4159
372	2470	4152
373	2476	4145
374	2483	4138
375	2489	4131
376	2496	4124
377	2502	4117
378	2508	4110
379	2515	4104
380	2521	4097
381	2528	4090
382	2535	4083
383	2541	4077
384	2548	4070
385	2554	4063
386	2560	4056
387	2567	4049
388	2573	4042
389	2579	4035
390	2586	4028
391	2592	4021
392	2599	4014
393	2605	4007
394	2611	4000
395	2618	3993
396	2624	3986
397	2630	3979
398	2637	3972
399	2643	3965
400	2650	3958
401	2656	3951
402	2662	3944
403	2669	3937
404	2675	3930
405	2681	3923
406	2688	3916
407	2694	3909
408	2700	3902
409	2708	3897
410	2714	3890
411	2720	3883
412	2727	3876
413	2733	3869
414	2740	3862
415	2746	3855
416	2752	3848
